"ID";"Código";"Descrição";"Unidade";"NCM";"Origem";"Preço";"Valor IPI fixo";"Observações";"Situação";"Estoque";"Preço de custo";"Cód. no fornecedor";"Fornecedor";"Localização";"Estoque máximo";"Estoque mínimo";"Peso líquido (Kg)";"Peso bruto (Kg)";"GTIN/EAN";"GTIN/EAN da Embalagem";"Largura do produto";"Altura do Produto";"Profundidade do produto";"Data Validade";"Descrição do Produto no Fornecedor";"Descrição Complementar";"Itens p/ caixa";"Produto Variação";"Tipo Produção";"Classe de enquadramento do IPI";"Código na Lista de Serviços";"Tipo do item";"Grupo de Tags/Tags";"Tributos";"Código Pai";"Código Integração";"Grupo de produtos";"Marca";"CEST";"Volumes";"Descrição Curta";"Cross-Docking";"URL Imagens Externas";"Link Externo";"Meses Garantia no Fornecedor";"Clonar dados do pai";"Condição do Produto";"Frete Grátis";"Número FCI";"Vídeo";"Departamento";"Unidade de Medida";"Preço de Compra";"Valor base ICMS ST para retenção";"Valor ICMS ST para retenção";"Valor ICMS próprio do substituto";"Categoria do produto";"Informações Adicionais"
"16567887920";"1768	";"BOLSA QUADRADA C CHAVEIRO B AZUL - P161";"UN";"4202.22.20";"0";"219,90";"0,00";"";"Ativo";"1,00";"99,00";"	";"SAO PAULO";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"SAO PAULO";"";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"99,00";"0,0000";"0,0000";"0,0000";"";""
"16567857739";"1767	";"BOLSA LATERAL B AZUL PQ - 2644";"UN";"4202.22.20";"0";"95,00";"0,00";"";"Ativo";"2,00";"35,00";"	";"SAO PAULO";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"SAO PAULO";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"35,00";"0,0000";"0,0000";"0,0000";"";""
"16567855624";"1766	";"BOLSA LATERAL B AZUL - 2668";"UN";"4202.22.20";"0";"95,00";"0,00";"";"Ativo";"2,00";"35,00";"	";"SAO PAULO";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"SAO PAULO";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"35,00";"0,0000";"0,0000";"0,0000";"";""
"16567851272";"1765	";"BOLSA GD C LENÇO E 2 DIVISORIAS B AZUL-L2644";"UN";"4202.22.20";"0";"229,00";"0,00";"";"Ativo";"2,00";"90,00";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"HALINNE SEMIJOIAS";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"90,00";"0,0000";"0,0000";"0,0000";"";""
"16567843635";"1764	";"BOLSA GRANDE C 2 DIVISOES B AZUL - L2668";"UN";"4202.22.20";"0";"229,00";"0,00";"";"Ativo";"2,00";"90,00";"	";"SAO PAULO";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"SAO PAULO";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"90,00";"0,0000";"0,0000";"0,0000";"";""
"16564124303";"1763	";"CORRENTE VENEZIANA C PING CORAÇÃO CRAVEJADO PRATA925- 1763";"UN";"7113.20.00";"0";"189,00";"0,00";"";"Ativo";"1,00";"67,29";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"HALINNE SEMIJOIAS";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"67,29";"0,0000";"0,0000";"0,0000";"";""
"16561736960";"1762	";"PORTA JOIA PERSONALIZADO MEDIO - 1762";"UN";"4420.90.00";"0";"19,90";"0,00";"";"Ativo";"33,00";"8,40";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"HALINNE SEMIJOIAS";"28.057.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"8,40";"0,0000";"0,0000";"0,0000";"";""
"16561735058";"1761	";"PORTA JOIA PERSONALIZADO PEQUENO - 1761";"UN";"4420.90.00";"0";"15,90";"0,00";"";"Ativo";"28,00";"7,80";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"HALINNE SEMIJOIAS";"28.057.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"7,80";"0,0000";"0,0000";"0,0000";"";""
"16560611313";"1760	";"BRINCO ARGOLA CORACAO MEDIO PRATA925- 1760";"UN";"7113.11.00";"0";"37,90";"0,00";"";"Ativo";"1,00";"0,01";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"HALINNE SEMIJOIAS";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,01";"0,0000";"0,0000";"0,0000";"";""
"16560438334";"1759	";"PORTA JOIA DUPLO PRETO - Y569";"UN";"7113.11.00";"0";"89,00";"0,00";"";"Ativo";"1,00";"41,60";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"HALINNE SEMIJOIAS";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"41,60";"0,0000";"0,0000";"0,0000";"";""
