codigo,descricao_curta,Peso,altura,largura,comprimento,preco
203,PULSEIRA INF COM CORACOES COLORIDOS BANH OURO 18K - PL1056,,,,,"69,90"
204,PULSEIRA INF COM CORACOES COLORIDOS RODIO BRANCO - PL1056,,,,,"59,90"
205,PULSEIRA INF ESTRELAS COL E PEDRAS BANH OURO 18K - PL1056,,,,,"59,90"
206,PULSEIRA INF ESTRELAS COL E PEDRAS RODIO BRANCO - PL1056,,,,,"49,90"
207,PULSEIRA INF PATINHAS E PEDRAS BANH OURO 18K - PL02420,,,,,"49,90"
208,PULSEIRA INF PATINHAS E PEDRAS RODIO BRANCO - PL02420,,,,,"39,90"
209,PULSEIRA INF CORACAO E PEROLAS BANH OURO 18K - PL0867,,,,,"79,90"
212,PULSEIRA INF VENEZIANA C ESFERAS RODIO BRANCO - PL021657,,,,,"37,90"
213,PULSEIRA INF COM CORACOES C ZIRCONIA BANH OURO 18K - PL03110,,,,,"64,90"
215,PULSEIRA INF CORACAO VAZADO C CORACAO ZIRC BANH OURO 18K- PL03148,,,,,"59,90"
217,CHOKER COM PEDRAS CRISTAIS BANHO OURO 18K - CKN00275,,,,,"169,00"
219,CHOKER ELOS TRAB COM PING PEDRAS CRISTAL BANH OURO 18K- CK0607,,,,,"109,90"
220,CHOKER ELOS TRAB COM PING PEDRAS CRISTAL RODIO BRANCO- CK0607,,,,,"89,90"
222,CHOKER ESCAMA DE PEIXE LISA BANH OURO 18K - CK1526,,,,,"189,90"
223,CHOKER GRAVATINHA COM 2 CORACOES NA PONTA RODIO BRANCO - CK1152,,,,,"89,90"
224,CHOKER ESCAMA DE PEIXE LISA RODIO BRANCO - CK1526,,,,,"169,90"
225,CHOKER ESCAMA PEIXE TRABALHADA BANH OURO 18K - CKN00229,,,,,"189,90"
226,CHOKER ESCAMA PEIXE TRABALHADA RODIO BRANCO - CKN00229,,,,,"154,90"
227,CHOKER GRAVATINHA LUXO BANHO OURO 18K - CKN0321,,,,,"139,90"
229,CHOKER ELOS ACHATADOS DIAMANTADO BANH OURO 18K - CK0606,,,,,"124,90"
231,CHOKER ELOS OVAL VAZADO BANHO OURO 18K - CK0400,,,,,"119,00"
233,CORACAO VAZADO FIO TRABALHADO BANH OURO 18K - CK1494,,,,,"149,00"
235,CHOKER CORACAO LISO VAZADO BANH OURO 18K - CK0246,,,,,"89,90"
237,CKOKER CIRCULOS DIAMANTADOS BANH OURO 18K - CK0470,,,,,"149,00"
239,GARGANTILHA DUPLA COM PEROLAS E ESFERAS BANH OURO 18K - CC735,,,,,"169,00"
243,CHOKER 60CM COM ESFERAS RODIO BRANCO - CC617A,,,,,"125,90"
244,CHOKER 40 CM COM ESFERAS BANH OURO 18K - CC617B,,,,,"115,90"
246,CHOKER CORRENTARIA COM PING PEDRAS BANH OURO 18K - CK00625,,,,,"112,90"
247,CHOKER CORRENTARIA COM PING PEDRAS RODIO BRANCO - CK00635,,,,,"89,90"
249,CHOKER LUXO COM PEROLAS RODIO BRANCO - K801,,,,,"149,90"
250,CHOKER LUXO COM PEDRARIAS BOLA BANH OURO 18K - GZ466,,,,,"119,90"
251,CHOKER LUXO COM PEDRARIAS BOLA RODIO BRANCO - GZ466,,,,,"99,00"
253,CHOKER RIVIERA PEDRAS NAVETE ZIRCONIA RODIO BRANCO- K758,,,,,"179,90"
254,PULSEIRA RIVIERA PEDRAS NAVETE BANH OURO 18K - PL513,,,,,"129,00"
255,PULSEIRA RIVIERA PEDRAS NAVETE RODIO BRANCO - PL513,,,,,"105,90"
256,GARGANTILHA COM CORACAO CRAVEJADO BANH OURO 18K - DZ1526,,,,,"129,00"
257,GARGANTILHA COM CORACAO CRAVEJADO RODIO BRANCO - DZ1526,,,,,"105,90"
258,GARGANTILHA FILHO MULTICOR BANH OURO 18K - DZ8027,,,,,"149,00"
260,GARGANTILHA FILHO MULTICOR RODIO BRANCO - DZ8027,,,,,"125,90"
261,GARGANTILHA FILHA MULTICOR RODIO BRANCO - DZ8027,,,,,"125,90"
262,PING COUNTRY CAVALO CRAV BANH OURO 18K - P1661,,,,,"69,90"
263,GARGANTILHA C PINGENTE COUNTRY CAVALO BANH OURO 18K- CL2150 P1661,,,,,"149,90"
264,GARGANTILHA C PINGENTE FE CRAVEJADO RODIO BRANCO - CL2150,,,,,"129,90"
265,GARGANTILHA C PING CAVALO ZIRC CRAVEJADA BANH OURO 18K - P1661,,,,,"129,90"
266,PINGENTE CAVALO ZIRC CRAVEJADA BANH OURO 18K - P16194B,,,,,"59,90"
267,GARGANTILHA C PING ARVORE DA VIDA LISA BANH RODIO BRANCO- P2520,,,,,"79,90"
268,PINGENTE ARVORE DA VIDA LISO BANH OURO 18K - 2520,,,,,"45,00"
269,GARGANTILHA C PINGENTE PET CACHORRO BANH OURO 18K - 01203,,,,,"99,00"
271,PINGENTE PET CACHORRO BANH OURO 18K - 01203,,,,,"39,90"
273,GARGANTILHA C PING FERRADURA CRAVEJADA RODIO BRANCO -2520,,,,,"89,90"
275,PINGENTE FERRADURA CRAVEJADA RODIO BRANCO - 2520,,,,,"45,90"
276,GARGANTILHA C PINGENTE FE CRAVEJADO BANH OURO 18K - 2520,,,,,"134,90"
277,PINGENTE FE CRAVEJADO BANH OURO 18K - 25201,,,,,"75,90"
279,PING MENINO C ZIRCONIA CRAV RODIO BRANCO - 50200455,,,,,"18,90"
281,PING MENINA C ZIRCONIA CRAV RODIO BRANCO - 50200454,,,,,"18,90"
282,CANGA 5 FILHOS BANH OURO 18K - 0220072,,,,,"35,00"
284,CANGA 2 FILHOS BANH OURO 18K - 0220071,,,,,"31,00"
290,TORNOZELEIRA DUPLA C CORACAO VAZADO BANH OURO 18K - TR756,,,,,"79,90"
